name,MEe,Ered,a_n,a_n_std,mobN,mobN_std,eesd,bulk
Bolsig,0.3451,0.5878412461294763,,,6.305999999999999e+24,,Equal,False
Bolsig,0.3637,0.6232712562112048,,,6.126e+24,,Equal,False
Bolsig,0.401,0.6946176678557828,,,5.805999999999999e+24,,Equal,False
Bolsig,0.4166,0.7246070680116948,,,5.685e+24,,Equal,False
Bolsig,0.4666,0.8207891291641924,,,5.342e+24,,Equal,False
Bolsig,0.4779,0.8424187667569616,,,5.273e+24,,Equal,False
Bolsig,0.5439,0.969878575985181,,,4.913999999999997e+24,,Equal,False
Bolsig,0.5488,0.9793851176909392,,,4.89e+24,,Equal,False
Bolsig,0.6311,1.1386204184969484,,,4.5349999999999994e+24,,Equal,False
Bolsig,0.6349,1.1460488677681648,,,4.520999999999999e+24,,Equal,False
Bolsig,0.7268,1.3237453112160558,,,4.207e+24,,Equal,False
Bolsig,0.7425,1.3542190123939437,,,4.159e+24,,Equal,False
Bolsig,0.8383,1.5389691072637206,,,3.9029999999999993e+24,,Equal,False
Bolsig,0.8702,1.6002015141820354,,,3.8289999999999987e+24,,Equal,False
Bolsig,0.9688,1.7891854974249872,,,3.624e+24,,Equal,False
Bolsig,1.022,1.8908646700092149,,,3.528e+24,,Equal,False
Bolsig,1.122,2.080083823051906,,,3.367999999999999e+24,,Equal,False
Bolsig,1.204,2.2343243451539005,,,3.253999999999999e+24,,Equal,False
Bolsig,1.303,2.4182784385125697,,,3.133999999999999e+24,,Equal,False
Bolsig,1.424,2.640170583610871,,,3.006999999999999e+24,,Equal,False
Bolsig,1.519,2.811459106294324,,,2.9209999999999987e+24,,Equal,False
Bolsig,1.693,3.11973538026506,,,2.7859999999999993e+24,,Equal,False
Bolsig,1.779,3.268565844397571,,,2.729e+24,,Equal,False
Bolsig,2.026,3.6864090916301344,,,2.591e+24,,Equal,False
Bolsig,2.096,3.799992201645056,,,2.558e+24,,Equal,False
Bolsig,2.449,4.356014319938478,,,2.421999999999999e+24,,Equal,False
Bolsig,2.49,4.417821582916486,,,2.4089999999999992e+24,,Equal,False
Bolsig,2.994,5.13610199779714,8.77e-30,,2.285e+24,,Equal,False
Bolsig,3.003,5.1472477101336525,9.373e-30,,2.2839999999999998e+24,,Equal,False
Bolsig,3.638,5.97116547978856,3.977e-28,,2.193e+24,,Equal,False
Bolsig,3.725,6.082201995573401,5.878e-28,,2.183999999999999e+24,,Equal,False
Bolsig,4.381,6.941999438934585,6.557999999999999e-27,,2.1389999999999994e+24,,Equal,False
Bolsig,4.554,7.1869828689469815,1.1190000000000001e-26,,2.132e+24,,Equal,False
Bolsig,5.094,8.070678391561584,5.257000000000001e-26,,2.1229999999999999e+24,,Equal,False
Bolsig,5.307,8.492437902609927,9.406000000000001e-26,,2.123999999999999e+24,,Equal,False
Bolsig,5.672,9.38286588366764,2.555e-25,,2.1299999999999995e+24,,Equal,False
Bolsig,5.881,10.035017871171403,4.61e-25,,2.135999999999999e+24,,Equal,False
Bolsig,6.106,10.90839802053613,8.893e-25,,2.1439999999999993e+24,,Equal,False
Bolsig,6.301,11.85779452609026,1.602e-24,,2.153e+24,,Equal,False
Bolsig,6.44,12.681961870686328,2.4669999999999998e-24,,2.159999999999999e+24,,Equal,False
Bolsig,6.627,14.01166324047242,4.434e-24,,2.169e+24,,Equal,False
Bolsig,6.716,14.74388416949579,5.843e-24,,2.1729999999999997e+24,,Equal,False
Bolsig,6.909,16.55676410418786,1.044e-23,,2.183e+24,,Equal,False
Bolsig,6.966,17.141048255788846,1.2279999999999999e-23,,2.186e+24,,Equal,False
Bolsig,7.178,19.564161148971525,2.185e-23,,2.1969999999999997e+24,,Equal,False
Bolsig,7.208,19.927960090406064,2.356e-23,,2.198e+24,,Equal,False
Bolsig,7.455,23.117826590650804,4.162e-23,,2.21e+24,,Equal,False
Bolsig,7.459,23.167987595548656,4.195e-23,,2.2109999999999995e+24,,Equal,False
Bolsig,7.727,26.934801494604915,7.028e-23,,2.225e+24,,Equal,False
Bolsig,7.754,27.31698549229627,7.356e-23,,2.2259999999999995e+24,,Equal,False
Bolsig,8.023,31.31405041382018,1.118e-22,,2.2409999999999996e+24,,Equal,False
Bolsig,8.087,32.278886315727725,1.221e-22,,2.2439999999999994e+24,,Equal,False
Bolsig,8.355,36.40530833374367,1.7029999999999999e-22,,2.2599999999999998e+24,,Equal,False
Bolsig,8.467,38.14207472041565,1.923e-22,,2.267e+24,,Equal,False
Bolsig,8.734,42.32433867098893,2.495e-22,,2.2839999999999998e+24,,Equal,False
Bolsig,8.908,45.07026202043782,2.8969999999999995e-22,,2.2949999999999995e+24,,Equal,False
