Energy (eV),ICS (cm^2),MTCS (cm^2),s2S (cm^2),s2P (cm^2),t2S (cm^2),S3P (cm^2),s3D (cm^2),s3S (cm^2),t2P (cm^2),t3D (cm^2),s4F (cm^2),t3S (cm^2),T2P (cm^2),s4D (cm^2),t4F (cm^2),s4S (cm^2),s3P (cm^2),t4D (cm^2),s5F (cm^2),t4S (cm^2),t3P (cm^2),s5D (cm^2),t5F (cm^2),s5S (cm^2),T3P (cm^2),t5D (cm^2),s6F (cm^2),t5S (cm^2),s4P (cm^2),s6D (cm^2),t6F (cm^2),s6S (cm^2),t4P (cm^2)
21.3,2.881e-16,2.445e-16,2.217e-18,2.718e-19,3.124e-18,0.0,0.0,0.0,1.065e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.4,2.871e-16,2.431e-16,2.173e-18,3.428e-19,3.097e-18,0.0,0.0,0.0,1.155e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.5,2.861e-16,2.416e-16,2.188e-18,4.553e-19,3.088e-18,0.0,0.0,0.0,1.289e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.6,2.851e-16,2.402e-16,2.203e-18,5.71e-19,3.122e-18,0.0,0.0,0.0,1.371e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.7,2.842e-16,2.389e-16,2.191e-18,6.603e-19,3.178e-18,0.0,0.0,0.0,1.425e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.8,2.833e-16,2.376e-16,2.173e-18,7.229e-19,3.214e-18,0.0,0.0,0.0,1.467e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.9,2.824e-16,2.364e-16,2.176e-18,7.765e-19,3.225e-18,0.0,0.0,0.0,1.526e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,2.816e-16,2.352e-16,2.186e-18,8.665e-19,3.207e-18,0.0,0.0,0.0,1.625e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.1,2.808e-16,2.341e-16,2.216e-18,9.416e-19,3.134e-18,0.0,0.0,0.0,1.712e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.2,2.803e-16,2.333e-16,2.179e-18,1.041e-18,2.98e-18,0.0,0.0,0.0,1.814e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
